heartbeat_id,channel,label,sample_absolute,sample_relative
0,heartbeat,start,79532,16
0,ICG,B-point,79718,202
0,heartbeat,end,79959,443
1,heartbeat,start,79959,443
1,ICG,B-point,80124,608
1,heartbeat,end,80382,866
2,heartbeat,start,80382,866
2,ICG,B-point,80584,1068
2,heartbeat,end,80786,1270
3,heartbeat,start,80786,1270
3,ICG,B-point,80980,1464
3,heartbeat,end,81180,1664
4,heartbeat,start,81180,1664
4,ICG,B-point,81381,1865
4,heartbeat,end,81566,2050
5,heartbeat,start,81566,2050
5,ICG,B-point,81759,2243
5,heartbeat,end,81948,2432
6,heartbeat,start,81948,2432
6,ICG,B-point,82142,2626
6,heartbeat,end,82331,2815
7,heartbeat,start,82331,2815
7,Artefact,,82521,3005
7,heartbeat,end,82722,3206
8,heartbeat,start,82722,3206
8,ICG,B-point,82921,3405
8,heartbeat,end,83114,3598
9,heartbeat,start,83114,3598
9,ICG,B-point,83310,3794
9,heartbeat,end,83498,3982
10,heartbeat,start,83498,3982
10,ICG,B-point,83693,4177
10,heartbeat,end,83869,4353
11,heartbeat,start,83869,4353
11,ICG,B-point,84064,4548
11,heartbeat,end,84236,4720
12,heartbeat,start,84236,4720
12,ICG,B-point,84434,4918
12,heartbeat,end,84602,5086
13,heartbeat,start,84602,5086
13,ICG,B-point,84791,5275
13,heartbeat,end,84967,5451
14,heartbeat,start,84967,5451
14,ICG,B-point,85160,5644
14,heartbeat,end,85339,5823
15,heartbeat,start,85339,5823
15,Artefact,,85541,6025
15,heartbeat,end,85718,6202
16,heartbeat,start,85718,6202
16,ICG,B-point,85916,6400
16,heartbeat,end,86097,6581
17,heartbeat,start,86097,6581
17,ICG,B-point,86290,6774
17,heartbeat,end,86471,6955
18,heartbeat,start,86471,6955
18,ICG,B-point,86666,7150
18,heartbeat,end,86838,7322
19,heartbeat,start,86838,7322
19,ICG,B-point,87028,7512
19,heartbeat,end,87192,7676
20,heartbeat,start,87192,7676
20,ICG,B-point,87379,7863
20,heartbeat,end,87539,8023
21,heartbeat,start,87539,8023
21,ICG,B-point,87725,8209
21,heartbeat,end,87887,8371
22,heartbeat,start,87887,8371
22,ICG,B-point,88078,8562
22,heartbeat,end,88254,8738
23,heartbeat,start,88254,8738
23,ICG,B-point,88453,8937
23,heartbeat,end,88645,9129
24,heartbeat,start,88645,9129
24,Artefact,,88811,9295
24,heartbeat,end,89049,9533
25,heartbeat,start,89049,9533
25,ICG,B-point,89258,9742
25,heartbeat,end,89461,9945
26,heartbeat,start,89461,9945
26,ICG,B-point,89666,10150
26,heartbeat,end,89860,10344
27,heartbeat,start,89860,10344
27,ICG,B-point,90059,10543
27,heartbeat,end,90240,10724
28,heartbeat,start,90240,10724
28,ICG,B-point,90481,10965
28,heartbeat,end,90612,11096
29,heartbeat,start,90612,11096
29,ICG,B-point,90809,11293
29,heartbeat,end,90978,11462
30,heartbeat,start,90978,11462
30,ICG,B-point,91170,11654
30,heartbeat,end,91342,11826
31,heartbeat,start,91342,11826
31,ICG,B-point,91516,12000
31,heartbeat,end,91705,12189
32,heartbeat,start,91705,12189
32,ICG,B-point,91896,12380
32,heartbeat,end,92063,12547
33,heartbeat,start,92063,12547
33,Artefact,,92255,12739
33,heartbeat,end,92417,12901
34,heartbeat,start,92417,12901
34,ICG,B-point,92610,13094
34,heartbeat,end,92782,13266
35,heartbeat,start,92782,13266
35,ICG,B-point,92983,13467
35,heartbeat,end,93167,13651
36,heartbeat,start,93167,13651
36,ICG,B-point,93373,13857
36,heartbeat,end,93563,14047
37,heartbeat,start,93563,14047
37,ICG,B-point,93773,14257
37,heartbeat,end,93964,14448
38,heartbeat,start,93964,14448
38,ICG,B-point,94175,14659
38,heartbeat,end,94366,14850
39,heartbeat,start,94366,14850
39,ICG,B-point,94572,15056
39,heartbeat,end,94759,15243
40,heartbeat,start,94759,15243
40,ICG,B-point,94952,15436
40,heartbeat,end,95141,15625
41,heartbeat,start,95141,15625
41,ICG,B-point,95344,15828
41,heartbeat,end,95513,15997
42,heartbeat,start,95513,15997
42,ICG,B-point,95708,16192
42,heartbeat,end,95874,16358
43,heartbeat,start,95874,16358
43,ICG,B-point,96072,16556
43,heartbeat,end,96228,16712
44,heartbeat,start,96228,16712
44,ICG,B-point,96425,16909
44,heartbeat,end,96592,17076
45,heartbeat,start,96592,17076
45,ICG,B-point,96790,17274
45,heartbeat,end,96978,17462
46,heartbeat,start,96978,17462
46,ICG,B-point,97188,17672
46,heartbeat,end,97371,17855
47,heartbeat,start,97371,17855
47,ICG,B-point,97581,18065
47,heartbeat,end,97761,18245
48,heartbeat,start,97761,18245
48,ICG,B-point,97968,18452
48,heartbeat,end,98141,18625
49,heartbeat,start,98141,18625
49,ICG,B-point,98341,18825
49,heartbeat,end,98510,18994
50,heartbeat,start,98510,18994
50,Artefact,,98713,19197
50,heartbeat,end,98873,19357
51,heartbeat,start,98873,19357
51,ICG,B-point,99072,19556
51,heartbeat,end,99231,19715
52,heartbeat,start,99231,19715
52,ICG,B-point,99426,19910
52,heartbeat,end,99582,20066
53,heartbeat,start,99582,20066
53,ICG,B-point,99777,20261
53,heartbeat,end,99931,20415
54,heartbeat,start,99931,20415
54,ICG,B-point,100127,20611
54,heartbeat,end,100282,20766
55,heartbeat,start,100282,20766
55,Artefact,,100479,20963
55,heartbeat,end,100639,21123
56,heartbeat,start,100639,21123
56,ICG,B-point,100839,21323
56,heartbeat,end,100993,21477
57,heartbeat,start,100993,21477
57,ICG,B-point,101186,21670
57,heartbeat,end,101336,21820
58,heartbeat,start,101336,21820
58,ICG,B-point,101522,22006
58,heartbeat,end,101673,22157
59,heartbeat,start,101673,22157
59,ICG,B-point,101856,22340
59,heartbeat,end,102009,22493
60,heartbeat,start,102009,22493
60,ICG,B-point,102191,22675
60,heartbeat,end,102347,22831
61,heartbeat,start,102347,22831
61,ICG,B-point,102535,23019
61,heartbeat,end,102681,23165
62,heartbeat,start,102681,23165
62,ICG,B-point,102866,23350
62,heartbeat,end,103005,23489
63,heartbeat,start,103005,23489
63,ICG,B-point,103187,23671
63,heartbeat,end,103320,23804
64,heartbeat,start,103320,23804
64,ICG,B-point,103500,23984
64,heartbeat,end,103630,24114
65,heartbeat,start,103630,24114
65,ICG,B-point,103803,24287
65,heartbeat,end,103936,24420
66,heartbeat,start,103936,24420
66,ICG,B-point,104110,24594
66,heartbeat,end,104242,24726
