,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,567,567,616,634,590.0,590.0,49,67,49.0,67.0,,,18.0,18.0,26.865671641791046
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1157,1156,1197,1206,581.0,581.0,40,50,40.0,50.0,,,10.0,10.0,20.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1738,1735,1750,1811,557.0,557.0,12,76,12.0,76.0,,,64.0,64.0,84.21052631578947
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2295,2291,2287,2382,546.0,546.0,,91,,91.0,negative_pep,,,,
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2841,2846,2924,2926,541.0,541.0,83,80,83.0,80.0,,,-3.0,3.0,3.75
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3382,3378,3441,3456,543.0,543.0,59,78,59.0,78.0,,,19.0,19.0,24.358974358974358
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3925,3923,3922,3996,546.0,546.0,,73,,73.0,negative_pep,,,,
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4471,4469,4469,4542,550.0,550.0,,73,,73.0,negative_pep,,,,
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5021,5022,5057,5102,537.0,537.0,36,80,36.0,80.0,,,44.0,44.0,55.00000000000001
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5558,5553,5641,5637,540.0,540.0,83,84,83.0,84.0,,,1.0,1.0,1.1904761904761905
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6098,6094,6182,6183,541.0,541.0,84,89,84.0,89.0,,,5.0,5.0,5.617977528089887
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6639,6636,6702,6709,552.0,552.0,63,73,63.0,73.0,,,10.0,10.0,13.698630136986301
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7191,7190,7249,7256,569.0,569.0,58,66,58.0,66.0,,,8.0,8.0,12.121212121212121
VP_001,tsst,Prep,13,13,13,7595,7595,8171,8171,7760,7757,7817,7826,580.0,580.0,57,69,57.0,69.0,,,12.0,12.0,17.391304347826086
VP_001,tsst,Prep,14,14,14,8171,8171,8738,8738,8340,8351,8393,8406,560.0,560.0,53,55,53.0,55.0,,,2.0,2.0,3.6363636363636362
VP_001,tsst,Prep,15,15,15,8738,8738,9295,9295,8900,8897,8899,8975,556.0,556.0,,78,,78.0,negative_pep,,,,
VP_001,tsst,Prep,16,16,16,9295,9295,9854,9854,9456,9453,9537,9537,560.0,560.0,81,84,81.0,84.0,,,3.0,3.0,3.571428571428571
VP_001,tsst,Prep,17,17,17,9854,9854,10417,10417,10016,10013,10072,10096,565.0,565.0,56,83,56.0,83.0,,,27.0,27.0,32.53012048192771
VP_001,tsst,Prep,18,18,18,10417,10417,10988,10988,10581,10590,10638,10651,574.0,574.0,57,61,57.0,61.0,,,4.0,4.0,6.557377049180328
